Reaction	In-Pathway	Names
UREIDOGLYCOLATE-LYASE-RXN	PWY-5705 // PWY-5694	allantoin degradation to glyoxylate III // allantoin degradation to glyoxylate I
PHOSNACMURPENTATRANS-RXN	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
DCTP-DEAM-RXN		
RXN-7904	PWY-5143	long-chain fatty acid activation // long-chain acyl-CoA synthetase pathway
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	FASYN-ELONG-PWY	fatty acid elongation -- saturated
RXN0-5225	PWY0-1261	anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
ARYLFORMAMIDASE-RXN	PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
ARGSUCCINLYA-RXN	ARGSYN-PWY // PWY-4984 // ARGSYNBSUB-PWY	L-arginine biosynthesis I (via L-ornithine) // urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle // L-arginine biosynthesis II (acetyl cycle)
4.1.1.75-RXN		
RXN0-5422		
RXN-9536	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
R-2-METHYLMALATE-DEHYDRATASE-RXN	PWY-5101	L-isoleucine biosynthesis II
RXN-12570	PWY0-1337	oleate &beta;-oxidation
RXN-11064		
RXN0-7078		
RXN-22913		
PYRUFLAVREDUCT-RXN	PWY-8303	reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway
RXN-7592		
RXN-17920	DNA-LIGASE-NAD+-RXN	
DIHYDROOROTATE-DEHYDROGENASE-RXN	PWY-5686	UMP biosynthesis I // uridine-5'-phosphate biosynthesis I // <i>de novo</i> biosynthesis of uridine-5'-phosphate I // <i>de novo</i> biosynthesis of uridine-5'-monophosphate I
RXN-22883	PWY-3602	L-carnitine degradation III
RXN66-1		
2.5.1.19-RXN	PWY-6163	chorismate biosynthesis from 3-dehydroquinate
2.3.1.78-RXN		
P-PANTOCYSDECARB-RXN	COA-PWY	coenzyme A biosynthesis I (bacteria) // CoA biosynthesis
ASPARAGHYD-RXN	ASPARAGINE-DEG1-PWY	L-asparagine degradation I
PPGPPSYN-RXN	PPGPPMET-PWY	ppGpp metabolism // guanosine 3'-diphosphate 5'-diphosphate biosynthesis // ppGpp biosynthesis
RXN0-901	SALVADEHYPOX-PWY // PWY-6608 // PWY-5695	adenosine nucleotides degradation II // purine ribonucleotide/ribonucleoside metabolism // guanosine nucleotides degradation III // inosine 5'-phosphate degradation // IMP degradation // urate biosynthesis
3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN		
RXN-22603		
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	TYRFUMCAT-PWY	L-tyrosine degradation I // tyrosine fumarate catabolism
RXN-12864	PWY-6932	selenate reduction // selenium metabolism // selenium assimilation
RXN0-6710	PWY0-1533 // PWY-7807 // PWY-7805	methylphosphonate degradation I // carbon-phosphorus lyase pathway // glyphosate degradation III // glyphosate C-P lyase enzyme system // (aminomethyl)phosphonate degradation
RXN-14569	PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
SHIKIMATE-5-DEHYDROGENASE-RXN	PWY-6163	chorismate biosynthesis from 3-dehydroquinate
ADENYLYLSULFKIN-RXN	PWY-5340	sulfate activation for sulfonation // sulfation pathway
RXN-17109		
UDPACYLGLCNACDEACETYL-RXN	NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // lipid-A-precursor biosynthesis (<i>E. coli</i>)
CYSTEINE-AMINOTRANSFERASE-RXN	PWY-5329	L-cysteine degradation III // hydrogen sulfide biosynthesis I
QOR-RXN		
RXN-15635		
DIHYDRODIPICSYN-RXN	DAPLYSINESYN-PWY	L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
GSAAMINOTRANS-RXN	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
RXN0-6565		
PRPPSYN-RXN	PWY0-662	PRPP biosynthesis // 5-phosphoribosyl 1-pyrophosphate biosynthesis
RXN2B4Q-49		
ERYTHRON4PDEHYDROG-RXN	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I // vitamin B<sub>6</sub> biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
RXN-17392		
RXN-12508	RXN0-1134	
DEHYDDEOXGALACTKIN-RXN		
RXN-8315		
PORPHOBILSYNTH-RXN	PWY-5188 // PWY-5189	tetrapyrrole biosynthesis I (from glutamate) // tetrapyrrole biosynthesis II (from glycine)
ALANINE-DEHYDROGENASE-RXN	PWY1-2	L-alanine degradation IV
1.1.1.39-RXN	GLUCONEO-PWY	gluconeogenesis I
RXN-15127	LCYSDEG-PWY // SERDEG-PWY // PWY-3661 // 4.4.1.25-RXN // 4.3.1.17-RXN // DCYSDESULF-RXN // LCYSDESULF-RXN	L-cysteine degradation II // L-cysteine catabolism // L-cysteine degradation // L-serine degradation // glycine betaine degradation I
GMP-SYN-GLUT-RXN	PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis
RXN-14274	PWY0-1337	oleate &beta;-oxidation
3-HYDROXY-KYNURENINASE-RXN	PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
RXN-9772	PWY-8277	NAD <i>de novo</i> biosynthesis IV (anaerobic) // nicotinamide adenine dinucleotide biosynthesis
RXN-9655	PWY0-862 // PWY-5971 // PWY-8279	(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I // palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
RXN-22606		
RXN-14385	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
RXN0-6481	PWY0-1479	tRNA processing
GLYC3PDEHYDROG-RXN		
THREONINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
L-ASPARTATE-OXID-RXN	PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I (from aspartate) // nicotinamide adenine dinucleotide biosynthesis
RXN-18709	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN-17781	PWY0-1337	oleate &beta;-oxidation
1.8.1.4-RXN		
RXN-18448		
RXN-8629	GLYCLEAV-PWY // GCVMULTI-RXN	glycine cleavage // glycine cleavage system // glycine decarboxylase complex // gcv system // glycine cleavage complex
RXN0-7083		
RXN-15348		
GLUTATHIONE-REDUCT-NADPH-RXN	PWY-4081	glutathione-peroxide redox reactions
RXN0-6734	PWY0-1533	methylphosphonate degradation I // carbon-phosphorus lyase pathway
IMPCYCLOHYDROLASE-RXN	PWY-6123	inosine-5'-phosphate biosynthesis I // IMP biosynthesis I
RXN-17362	PWY-7884	lipoprotein posttranslational modification // lipoprotein lipoylation // Lol pathway
RXN0-5293	PWY-6536	4-aminobutanoate degradation III // &gamma;-amino-butyrate shunt // GABA degradation // 4-aminobutyrate degradation III // 4-aminobutanoic acid degradation III
RXN-9232		
MALYL-COA-LYASE-RXN	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
R313-RXN		
KETOISOCAPROATE-RXN	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	4-methyl-2-oxopentanoate dehydrogenase (acylating)
RXN-14857		
ASPCARBTRANS-RXN	PWY-5686	UMP biosynthesis I // uridine-5'-phosphate biosynthesis I // <i>de novo</i> biosynthesis of uridine-5'-phosphate I // <i>de novo</i> biosynthesis of uridine-5'-monophosphate I
RXN0-5227	PWY0-1261	anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
RXN-20400		
RXN-12752	PWY-6938-1	NADH repair (prokaryotes)
TRYPSYN-RXN		
RXN-16112		
RXN-7931	PWY0-1337	oleate &beta;-oxidation
RXN0-2023	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN-22698	PWY-6823	molybdopterin biosynthesis
THREONINE-ALDOLASE-RXN	GLYSYN-THR-PWY	glycine biosynthesis IV
RXN-9380		
RXN-15124	LCYSDEG-PWY // SERDEG-PWY // PWY-3661 // 4.4.1.25-RXN // 4.3.1.17-RXN // DCYSDESULF-RXN // LCYSDESULF-RXN	L-cysteine degradation II // L-cysteine catabolism // L-cysteine degradation // L-serine degradation // glycine betaine degradation I
RXN-16621	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
RXN2DNV-42	PWY2DNV-11	tetrahydrofolate biosynthesis II // folic acid biosynthesis II // folate biosynthesis II // THF biosynthesis II
RXN-19612	RXN-19609	
ORNITHINE-RACEMASE-RXN		
RXN-14992		
RXN-18203	RXNQT-4174	
TRIOSEPISOMERIZATION-RXN	GLUCONEO-PWY // ANAGLYCOLYSIS-PWY	gluconeogenesis I // glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
1.2.4.4-RXN	PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA // branched-chain &alpha;-keto acid dehydrogenase system // branched-chain &alpha;-keto acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase system
EXOPOLYPHOSPHATASE-RXN	PWY-8138	polyphosphate metabolism
RXN-10		
PROLINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
RXN-21753	PWY-8180	acrylate degradation II
RXN0-5114	SERSYN-PWY	L-serine biosynthesis I
RXN-12726		
RXN-10654	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
RXN0-1342	PWY-6700	queuosine biosynthesis I (<i>de novo</i>)
RXN-12458		
RXN0-366	PWY-6599	guanine and guanosine salvage II
ARGINASE-RXN	PWY-4984 // ARG-GLU-PWY // ARGASEDEG-PWY	urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle // L-arginine degradation VII (arginase 3 pathway) // L-arginine degradation I (arginase pathway) // L-arginase degradative pathway // L-glutamate biosynthesis
ACETYL-COA-CARBOXYLTRANSFER-RXN		
2-HALOACID-DEHALOGENASE-RXN		
RXN-11638		
RXN-14056		
RXN-7744	PWY-5101	L-isoleucine biosynthesis II
RXN2DNV-43	PWY2DNV-11	tetrahydrofolate biosynthesis II // folic acid biosynthesis II // folate biosynthesis II // THF biosynthesis II
CYCPHOSDIESTER-RXN		
RXN-8342	PWY-6823	molybdopterin biosynthesis
RXN-17777	PWY0-1337	oleate &beta;-oxidation
2.1.1.131-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
RXN-16011	PWY-6048 // RXN-12573	methylthiopropanoate degradation I (cleavage) // MTPA degradation // methylthiopropionate degradation I (cleavage) // MTA-CoA hydrolase
LEUCINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
PRAISOM-RXN	TRPSYN-PWY	L-tryptophan biosynthesis
RXN-11319	PWY-6892	thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
RXN-11209	PWY-6430	thymine degradation // uracil degradation (reductive)
RXN0-5408		
RXN-8975		
RXN-19920	RXN0-7078	
RXN-12456		
RXN-2006	PWY-6458	benzoyl-CoA biosynthesis // benzoyl-coenzyme A biosynthesis
3-OXOACYL-ACP-REDUCT-RXN	FASYN-ELONG-PWY	fatty acid elongation -- saturated
RXN-17776	PWY0-1337	oleate &beta;-oxidation
RXN-8675	PWY-7377 // PWY-7376 // RXN-13403	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion) // cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
RXN-20155	ACETYL-COA-ACETYLTRANSFER-RXN	
RXN-2425	PWY0-321 // PWY-1361	phenylacetate degradation I (aerobic) // benzoyl-CoA degradation I (aerobic)
RXN-9521	PWY-8279 // PWY-7388	palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
DHLBXANAU-RXN		
RXN-20679	PWY0-1337	oleate &beta;-oxidation
S-ADENMETSYN-RXN	METHIONINE-DEG1-PWY // PWY-5041	L-methionine degradation I (to L-homocysteine) // <i>S</i>-adenosyl-L-methionine salvage II // activated methyl cycle // SAM cycle // <i>S</i>-adenosyl-L-methionine cycle II
RXN-22285		
RXN66-336		
DXPREDISOM-RXN	PWY-7560 // NONMEVIPP-PWY	methylerythritol phosphate pathway II // nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway // methylerythritol phosphate pathway I
RXN-11348		
RXN-10819	PWY0-321	phenylacetate degradation I (aerobic)
UDP-NACMUR-ALA-LIG-RXN	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
RXN0-7192	BIOTINLIG-RXN	
RXN-16165	TRNA-CHARGING-PWY	tRNA charging
RXN-11217		
RXN-9736	PWY-6052	dimethylsulfoniopropanoate degradation III (demethylation) // DMSP degradation // dimethylsulfoniopropionate degradation III (demethylation)
RXN-14025	PWY-7185	UTP and CTP dephosphorylation I // pyrimidine nucleotides dephosphorylation
RXN-2424	PWY-1361	benzoyl-CoA degradation I (aerobic)
GLUCOKIN-RXN	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)
DEOXYADENPHOSPHOR-RXN	PWY-7179	purine deoxyribonucleosides degradation I
RXN-9205	PWY-5844	menaquinol-9 biosynthesis // vitamin K<sub>2</sub> biosynthesis // menaquinone-9 biosynthesis
1TRANSKETO-RXN		
RXN-2002	PWY-6458	benzoyl-CoA biosynthesis // benzoyl-coenzyme A biosynthesis
RXN0-2145	PWY0-862	(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I
RXN-19774		
RXN-17363	PWY-7884	lipoprotein posttranslational modification // lipoprotein lipoylation // Lol pathway
RXN-9538	PWY-8279	palmitate biosynthesis III
THREDEHYD-RXN		
SPONTPRO-RXN	PROUT-PWY // PROSYN-PWY	L-proline degradation I // L-proline utilization // L-proline biosynthesis I (from L-glutamate)
FGAMSYN-RXN	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
RXN-12565	PWY0-1337	oleate &beta;-oxidation
RXN-18206	RXNQT-4168	
RXN-16688	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
ALDEHYDE-DEHYDROGENASE-NADP+-RXN		
3-OXOACYL-ACP-SYNTH-BASE-RXN	PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN-9157		
RXN0-6512	PWY0-321	phenylacetate degradation I (aerobic)
RXN-16427		
RXN-17846	PWY-7801	N-end rule pathway I (prokaryotic)
GUANPRIBOSYLTRAN-RXN	PWY-6599 // PWY-6620	guanine and guanosine salvage II // guanine and guanosine salvage I
RXN-8999	PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis
GLYCPDIESTER-RXN	PWY-6952	glycerophosphodiester degradation
RXN-19299		
RXN-16804	PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // CMP-Kdo biosynthesis I
RXN0-7068		
RXN-7605	METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)
RXN-19343	PWY-7971 // BTUR2-RXN	adenosylcobinamide-GDP salvage from cobinamide I
DEOXYCYTIDINE-KINASE-RXN	PWY-7199	pyrimidine deoxyribonucleosides salvage
RXN-13279		
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN		
RXN-21550	PWY-8164	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation // sulfo-<i>bis</i>(guanylyl molybdopterin) cofactor biosynthesis // bis-MGD sulfulylation
RXN-9952	OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I
RXN-16393	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
RXN-16665	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
2OXOGLUTARATEDEH-RXN	TCA	TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
GDPKIN-RXN	PPGPPMET-PWY // PWY-7221	ppGpp metabolism // guanosine 3'-diphosphate 5'-diphosphate biosynthesis // ppGpp biosynthesis // guanosine ribonucleotides <i>de novo</i> biosynthesis
1.13.11.6-RXN	PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
AGMATIN-RXN	PWY0-823 // PWY-40	L-arginine degradation III (arginine decarboxylase/agmatinase pathway) // putrescine biosynthesis I
R321-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
KETOACYLCOATHIOL-RXN	FAO-PWY	fatty acid &beta;-oxidation I (generic)
RXN-17631		
RXN-10086		
RXN-14112		
RXN0-1132	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I // pyruvate dehydrogenase complex // acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex) // pyruvic acid decarboxylation to acetyl CoA // pyruvate dehydrogenase system
RXN0-6478	PWY0-1479	tRNA processing
RXN-18396	PWY-7855	ectoine degradation
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
RXN-11741		
INOPHOSPHOR-RXN	SALVADEHYPOX-PWY // PWY0-1296 // PWY-6609	adenosine nucleotides degradation II // purine ribonucleotide/ribonucleoside metabolism // purine ribonucleosides degradation // adenine and adenosine salvage III // adenosine nucleotides salvage III
SAMDECARB-RXN	BSUBPOLYAMSYN-PWY	spermidine biosynthesis I // arginine degradation to spermidine // spermidine biosynthesis
RXN-20645		
LYSINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
RXN-11375		
RXN-20082	PWY-5921 // 6.3.5.7-RXN	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
RXN-7253		
RXN-17780	PWY0-1337	oleate &beta;-oxidation
MALONYL-COA-ACP-TRANSACYL-RXN	PWY-4381	fatty acid biosynthesis initiation (type II) // de novo fatty acid biosynthesis, initial reactions // fatty acid biosynthesis initiation (bacteria and plants)
RXN-18207	RXNQT-4168	
RXN-12612	PWY-6899	base-degraded thiamine salvage // formylaminopyrimidine salvage // base-degraded thiamin salvage
RXN0-5222	CITRULLINE-DEG-PWY // ALLOPHANATE-HYDROLASE-RXN	L-citrulline degradation
RXN-22556		
R222-RXN	P221-PWY	octane oxidation
GLUTRACE-RXN	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN	PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage) // DMSP degradation // dimethylsulfoniopropionate degradation I (cleavage)
CYTIDEAM2-RXN		
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	PWY-5028	L-histidine degradation II
AICARSYN-RXN	PWY-6123	inosine-5'-phosphate biosynthesis I // IMP biosynthesis I
RXN-7716	PWY-5084 // 2OXOGLUTARATEDEH-RXN	2-oxoglutarate decarboxylation to succinyl-CoA // 2-oxoglutarate dehydrogenase complex // 2-ketoglutarate dehydrogenase complex // 2-oxoglutarate dehydrogenase system // 2-ketoglutarate dehydrogenase system // &alpha;-ketoglutarate dehydrogenase system // 2-oxoglutarate dehydrogenation // &alpha;-ketoglutarate oxidative decarboxylation
KETOBUTFORMLY-RXN	PWY-5437	L-threonine degradation I
RXN-22244	PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
UROGENDECARBOX-RXN	HEME-BIOSYNTHESIS-II // HEMESYN2-PWY	heme <i>b</i> biosynthesis I (aerobic) // heme <i>b</i> biosynthesis II (oxygen-independent)
PEPCARBOX-RXN		
2TRANSKETO-RXN		
RXN-20081	PWY490-4 // 6.3.5.6-RXN	L-asparagine biosynthesis III (tRNA-dependent) // L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
RXN-8173		
PYRAZIN-RXN		
RXN-14014	DAPLYSINESYN-PWY	L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
GUANYLCYC-RXN		
RXN-8850	PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
RXN-21315	PWY-8130	5'-deoxyadenosine degradation I // 5'-deoxyadenosine salvage I
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II // methylthioadenosine degradation II
RXN-9087	PWY-8180	acrylate degradation II
RXN-12198	PWY-7185	UTP and CTP dephosphorylation I // pyrimidine nucleotides dephosphorylation
ACYLCOASYN-RXN	FAO-PWY	fatty acid &beta;-oxidation I (generic)
RXN-14026	PWY-7185	UTP and CTP dephosphorylation I // pyrimidine nucleotides dephosphorylation
RXN-18200	RXNQT-4178	
RXN0-6480	PWY0-1479	tRNA processing
PSERTRANSAM-RXN	SERSYN-PWY	L-serine biosynthesis I
RXN-12609	PWY-6891	thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis
6.3.2.10-RXN		
RXN-17473	2.8.1.6-RXN	
RXN-4821		
RXN-19919	RXN0-7078	
DIHYDROFOLATESYNTH-RXN		
PANTOTHENATE-KIN-RXN	PANTO-PWY	phosphopantothenate biosynthesis I // vitamin B<sub>5</sub> biosynthesis
RXN-34		
RXN-19319	PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // adenosyl-factor A biosynthesis from adenosylcobinamide-GDP // <i>Co</i>&alpha;-[a-(2-methyladenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP
RXN-14290		
THIAMIN-PYROPHOSPHOKINASE-RXN	PWY-6898 // PWY-6907 // PWY-7356	thiamine diphosphate salvage III // thiamin salvage III // thiamine diphosphate biosynthesis III (Staphylococcus) // vitamin B<sub>1</sub> biosynthesis III // thiamin diphosphate biosynthesis III (Staphylococcus) // thiamine diphosphate salvage IV (yeast) // thiamin salvage IV (yeast)
RXN-14249		
RXN-10058		
RXN-22218		
2.1.1.133-RXN	PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	PWY-5189	tetrapyrrole biosynthesis II (from glycine)
RXN-19341	PWY-6268	adenosylcobalamin salvage from cobalamin // vitamin B<sub>12</sub> biosynthesis
RXN-14728		
COBINAMIDEKIN-RXN	COBALSYN-PWY // PWY-7971	superpathway of adenosylcobalamin salvage from cobinamide I // adenosylcobinamide-GDP salvage from cobinamide I
RXN-7594		
RXN-18710	PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN490-3616	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent) // L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
RXN-12140		
DIMETHUROPORDEHYDROG-RXN	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
RXNMETA-12672	PWY0-321	phenylacetate degradation I (aerobic)
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	HOMOSERSYN-PWY // DAPLYSINESYN-PWY	L-homoserine biosynthesis // L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis
1.14.11.1-RXN	PWY-3621	&gamma;-butyrobetaine degradation II
RXN0-7012	PWY0-1545	cardiolipin biosynthesis III
2-NITROPROPANE-DIOXYGENASE-RXN		
RXN-16391	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
UNDECAPRENYL-DIPHOSPHATASE-RXN	PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis
THI-P-KIN-RXN	PWY-6893 // PWY-6894	thiamine diphosphate biosynthesis II (Bacillus) // vitamin B<sub>1</sub> biosynthesis II // thiamin diphosphate biosynthesis II (Bacillus) // thiamine diphosphate biosynthesis I (E. coli) // vitamin B<sub>1</sub> biosynthesis // thiamin diphosphate biosynthesis I (E. coli)
RXN-21526	OHMETHYLBILANESYN-RXN	
RXN-16628	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis
LEUCYLTRANSFERASE-RXN	PWY-7801	N-end rule pathway I (prokaryotic)
HOMOGENTISATE-12-DIOXYGENASE-RXN	TYRFUMCAT-PWY	L-tyrosine degradation I // tyrosine fumarate catabolism
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN		
R345-RXN	PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide
THYKI-RXN	PWY-7199	pyrimidine deoxyribonucleosides salvage
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN		
RXN-18446		
RXN-19318	PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // adenosyl-factor A biosynthesis from adenosylcobinamide-GDP // <i>Co</i>&alpha;-[a-(2-methyladenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP
NADH-KINASE-RXN	PWY-7268	cytosolic NADPH production (yeast)
RXN-20995		
RXN-22238	PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>) // lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
ENOYL-COA-DELTA-ISOM-RXN	FAO-PWY	fatty acid &beta;-oxidation I (generic)
RXN0-949	PWY0-501	lipoate biosynthesis and incorporation I
RXN-10656	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	PWY-2301	<i>myo</i>-inositol biosynthesis
HOLO-ACP-SYNTH-RXN	PWY-6012-1	acyl carrier protein activation // [acp] metabolism // ACP metabolism // ACP activation
