#
#  rpom246200cyc 24.0 Reactions link table generated on Mon Apr 20, 2020
#
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
RXN-16950	EC-1.14.13.24
RXN-14063	EC-2.7.1.156
METHIONINE-GAMMA-LYASE-RXN	EC-4.4.1.11
AICARSYN-RXN	EC-4.3.2.2
RXN-14986	EC-1.1.1.85
HOMOSERKIN-RXN	EC-2.7.1.39
RXN-14377	EC-3.5.1.46
RXN-13403	EC-2.1.1.107
RXN-11482	EC-1.3.1.9
PABASYN-RXN	EC-2.6.1.85
URA-PHOSPH-RXN	EC-2.4.2.3	EC-2.4.2.2
D-ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.21
2.3.1.180-RXN	EC-2.3.1.180
DIHYDROOROT-RXN	EC-3.5.2.3
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
2-HALOACID-DEHALOGENASE-RXN	EC-3.8.1.10
RXN-11478	EC-1.3.1.9
RXN-9781	EC-5.1.99.5
RXN66-550	EC-1.5.5.1
RXN-10660	EC-4.2.1.59
RXN-9663	EC-1.3.1.9
RIBOFLAVINSYNREDUC-RXN	EC-1.1.1.193
RXN-8958	EC-5.4.99.63
RXN-10994	EC-2.7.8.7
PALMITOTRANS-RXN	EC-2.3.1.242
FHLMULTI-RXN	
TRANS-RXN1G48-11	
RXN-14139	EC-3.6.1.9
RXN0-5234	EC-4.1.2
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
RXN-11754	EC-2.1.1.201
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
OROPRIBTRANS-RXN	EC-2.4.2.10
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
RXN0-5199	EC-2.4.2.15	EC-2.4.2.1
RXN-12460	EC-3.1.1.29
1.3.99.16-RXN	EC-1.3.99.16
SULFITE-REDUCT-RXN	EC-1.8.1.2
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
IMIDPHOSDEHYD-RXN	EC-4.2.1.19
RXN1G48-18	
RXN-16765	
3-NUCLEOTID-RXN	EC-3.1.3.6
1.11.1.15-RXN	EC-1.11.1.15
THRESYN-RXN	EC-4.2.3.1
AMP-DEPHOSPHORYLATION-RXN	EC-3.1.3.5
RXN0-5515	EC-2.7.7.41
ORNITHINE-CYCLODEAMINASE-RXN	EC-4.3.1.12
RXN0-1133	EC-2.3.1.12
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
RXN-18397	EC-3.5.4.44
GLUTARYL-COA-DEHYDROG-RXN	
RXN-10851	
RXN-15510	
RXN-13202	EC-6.3.4.16
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
RXN-12141	
RXN0-747	EC-1.17.4.1
TRANS-RXN-283	
RXN-12709	EC-1.1.1
THIAZOLSYN2-RXN	EC-2.8.1.10
RXN-15124	
RXN-9233	EC-2.1.1.222
MALIC-NADP-RXN	EC-1.1.1.40
GLUTAMATESYN-RXN	EC-1.4.1.13
1.3.1.9-RXN	EC-1.3.1.9
RXN-14381	
1.8.1.4-RXN	EC-1.8.1.4
RXN-9553	EC-4.2.1
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC-3.1.3.7
ENTF-RXN	
RXN0-5261	
ACETYLHOMOSER-CYS-RXN	EC-2.5.1.49
RXN-8960	EC-4.2.1.148
RXN0-5359	EC-2.7.7.65
RXN-11346	EC-2.4.1.227
HYPOTAURINE-DEHYDROGENASE-RXN	EC-1.8.1.3
DIMETHYLARGININASE-RXN	EC-3.5.3.18
BADH-RXN	EC-1.2.1.8
PHENDEHYD-RXN	EC-1.2.1.39
RXN1G48-16	
INOPHOSPHOR-RXN	EC-2.4.2.1
TRANS-RXN1G48-10	
RXN-11834	EC-5.4.99.20
THREONINE-ALDOLASE-RXN	EC-4.1.2.48
MALSYN-RXN	EC-2.3.3.9
RXN-14049	
LUMAZINESYN-RXN	EC-2.5.1.78
RXN-17343	EC-1.13.11.39
KETOISOCAPROATE-RXN	EC-1.2.4.4
RXN-17959	EC-4.7.1.1
RXN-16625	EC-2.3.1.179
RXN-9660	EC-1.3.1.9
CHORISMATEMUT-RXN	EC-5.4.99.5
RXN-17797	EC-4.2.1.17
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	EC-4.1.1.98
RXN-10085	EC-2.8.3.6
RXN-12196	EC-3.6.1.15
RXN-12623	EC-3.2.1.202
RXN-13614	EC-6.2.1.3
RXN-17024	EC-2.3.1.51
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	EC-1.4.1.3
RXN0-5248	
RXN-15941	EC-5.1.1.22
GMP-SYN-GLUT-RXN	EC-6.3.5.2
RXN0-20	EC-2.5.1
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
RXN-16909	
RXN0-4641	EC-4.2.1.126
TYROSINE-AMINOTRANSFERASE-RXN	EC-2.6.1.57	EC-2.6.1.5
RXN-14117	EC-2.7.1.40
RXN-17363	EC-2.3.1
RXN-17779	EC-1.3.8
RXN-9087	EC-1.3.1.84
RXN-14971	EC-1.3.5.1
RXN0-748	EC-1.17.4.1
R125-RXN	EC-2.3.1.247
2.5.1.19-RXN	EC-2.5.1.19
RXN-16380	EC-6.2.1.3
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN	EC-1.1.1.157
NICOTINAMID-RXN	EC-3.5.1.19
RXN-9644	EC-6.2.1.3
4.2.1.93-RXN	EC-4.2.1.93
RXN-17875	EC-3.4.11.18
RXN-16688	
RXN-17013	EC-2.3.1.51
PTAALT-RXN	EC-2.3.1.222
RXN-13198	EC-1.1.1.1
RXN-8173	
ORNDECARBOX-RXN	EC-4.1.1.17
2-OCTAPRENYLPHENOL-HYDROX-RXN	EC-1.14.13
GUANYLCYC-RXN	EC-4.6.1.2
ACETOACETATE-DECARBOXYLASE-RXN	EC-4.1.1.4
MEPROPCOA-FAD-RXN	EC-1.3.8
RXN3O-102	EC-2.1.1.64
RXN-17753	
R601-RXN	EC-1.3.5.4
4.2.99.18-RXN	EC-4.2.99.18
RXNMETA-12672	EC-1.2.1.91
RXN-17918	
RXN-12743	EC-1.3.99
RXN0-5375	EC-1.7.1
CHD-RXN	EC-1.1.99.1
R4-RXN	EC-1.8.1
RXN-17781	EC-1.1.1.35
RXN0-3922	EC-1.2.1.99
RXN-14387	
HIPPURATE-HYDROLASE-RXN	EC-3.5.1.32
HISTIDPHOS-RXN	EC-3.1.3.15
RXN-7968	EC-1.1.1.282
GALACTARDEHYDRA-RXN	EC-4.2.1.42
RXN-11236	EC-1.7.5.1
RXN-17633	
RXN-14517	EC-2.1.1.228
METHYLISOCITRATE-LYASE-RXN	EC-4.1.3.30
RXN-16112	EC-1.1.1.330
COBINAMIDEKIN-RXN	EC-2.7.1.156
RXN-11029	EC-2.4.1.227
RXN-15261	EC-3.5.4.3
NAD-KIN-RXN	EC-2.7.1.23
RXN0-366	EC-3.2.2.1
DURIDKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-18604	EC-1.10.2.2
RXN0-12	
PROTEIN-ARGININE-DEIMINASE-RXN	EC-3.5.3.15
RXN-17472	
RXN-14257	
RXN-18581	
RXN0-947	EC-2.3.1.181
ADENPHOSPHOR-RXN	EC-2.4.2.1
RXN-9157	EC-2.3.2.2
RXN0-1342	EC-2.4.99.17
IMP-DEHYDROG-RXN	EC-1.1.1.205
RXN-9658	EC-1.3.1.9
1.6.99.5-RXN	EC-1.6.5.11
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	EC-2.5.1.49
RXN-10655	EC-1.1.1.100
RXN-9634	EC-2.3.1.86	EC-4.2.1.59
GLUCONOKIN-RXN	EC-2.7.1.12
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.19
RXN-16998	
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
LYSOPHOSPHOLIPASE-RXN	EC-3.1.1.5
GLYOXIII-RXN	EC-4.2.1.130
RIBOKIN-RXN	EC-2.7.1.15
RXN-14026	EC-3.1.3.91	EC-3.1.3.5
R345-RXN	EC-6.3.5.10
RXN-16025	EC-2.3.1.51
RXN-11734	EC-1.3.8.7
RXN0-6491	EC-1.3.5.2
RXN-17015	EC-2.3.1.51
ALLANTOINASE-RXN	EC-3.5.2.5
RXN-13576	
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
RXN-15829	EC-1.10.2.2
RXN0-5468	EC-1.11.1.15
ACETYLORNDEACET-RXN	EC-3.5.1.16
DXS-RXN	EC-2.2.1.7
LYSDECARBOX-RXN	EC-4.1.1.18
COBALADENOSYLTRANS-RXN	EC-2.5.1.17
FADSYN-RXN	EC-2.7.7.2
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6
RXN-11852	EC-2.3.1.195
RXN0-5063	EC-2.8.4.3
RXN-8991	
ARGSUCCINLYA-RXN	EC-4.3.2.1
RXN-17473	
UROPORIIIMETHYLTRANSA-RXN	
2.1.1.72-RXN	EC-2.1.1.72
RXNARA-8002	
RXN1G48-17	
1.13.11.15-RXN	EC-1.13.11.15
RXN-9615	
TRYPTOPHAN--TRNA-LIGASE-RXN	EC-6.1.1.2
RXN-16624	EC-1.3.1.9
RXN-17798	EC-1.1.1.35
GLYOXII-RXN	EC-3.1.2.6
RXN-15125	
TRANS-RXN0-470	
R562-RXN	EC-2.6.1
PROTEIN-KINASE-RXN	EC-2.7.11.21	EC-2.7.11.22
RXN-16759	EC-2.7.8.7
FORMATETHFLIG-RXN	EC-6.3.4.3
RXN66-480	EC-6.2.1.3
RXN-9363	EC-2.1.1.163
KDPGALDOL-RXN	EC-4.1.2.55	EC-4.1.2.14
RXN-16687	
PEPCARBOXYKIN-RXN	EC-4.1.1.49
RXN-9652	EC-2.3.1.86
RXN-10658	EC-2.3.1.179	EC-2.3.1.41
RXN-14503	
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.29
RXN-16690	
RXN-9913	
RXN-9516	EC-2.3.1.179	EC-2.3.1.41
RNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.49
RXN-17784	EC-1.3.8
RXN-12613	EC-3.5.99.2
MANNONDEHYDRAT-RXN	EC-4.2.1.8
XYLISOM-RXN	EC-5.3.1.5
RXN-9463	EC-2.4.1
RXN-12107	EC-1.1.1.366
RXN-11477	EC-4.2.1.59
RXN-15830	EC-1.9.3.1
RXN-14384	EC-2.8.1.7
RXN-9523	EC-2.3.1.179	EC-2.3.1.41
RXN-11135	EC-3.6.4.12
3.2.2.23-RXN	EC-3.2.2.23
4-HYDROXYBENZOATE--COA-LIGASE-RXN	EC-6.2.1.27
RXN-9530	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-11403	
RXN-15158	EC-2.7.1.207
FGAMSYN-RXN	EC-6.3.5.3
NADPYROPHOSPHAT-RXN	EC-3.6.1.22
RXN-9380	EC-4.1.1.96
RXN0-6948	EC-2.3.1.1
NACGLCTRANS-RXN	EC-2.4.1.227
PEPTIDYLTRANSFERASE-RXN	EC-2.3.2.12
HOLO-ACP-SYNTH-RXN	EC-2.7.8.7
2.1.1.131-RXN	EC-2.1.1.131
RXN0-6427	EC-3.1.7.2
PROTOPORGENOXI-RXN	EC-1.3.3.4
PEPSYNTH-RXN	EC-2.7.9.2
RXN-16622	EC-1.1.1.100
RXN-14120	EC-2.7.4.6
RXN-17020	EC-2.3.1.51
ADENOSINE-KINASE-RXN	EC-2.7.1.20
RXN-14715	EC-1.3.1.34
RXN-14229	EC-1.3.8.7
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	EC-1.2.1
CYTOCHROME-C-OXIDASE-RXN	EC-1.9.3.1
RXN0-6510	EC-5.3.3.18
PYRUVFORMLY-RXN	EC-2.3.1.54
RXN-16559	EC-1.1.1.211
RIBULP3EPIM-RXN	EC-5.1.3.1
PENICILLIN-AMIDASE-RXN	EC-3.5.1.11
RXN-745	
RXN0-6575	EC-4.3.99.3
5.99.1.3-RXN	EC-5.99.1.3
ACETYLGLUTKIN-RXN	EC-2.7.2.8
RXN-12705	EC-1.1.1.35
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
RXN-8748	EC-3.1.3.1
TRANS-RXN-323	
MALATE-DEH-RXN	EC-1.1.1.37
RXN0-2161	EC-6.1.1.11
3-OXOADIPATE-ENOL-LACTONASE-RXN	EC-3.1.1.24
RXN-17873	EC-3.4.11.18
2.1.1.132-RXN	EC-2.1.1.132
RXN-17900	
ACP-S-ACETYLTRANSFER-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.38
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
RXN-18851	EC-1.14.18.1
ATPSYN-RXN	EC-3.6.3.14
3.4.11.4-RXN	EC-3.4.11.4
RXN0-2141	EC-2.3.1.179
GLUCONATE-5-DEHYDROGENASE-RXN	EC-1.1.1.69
R101-RXN	EC-2.6.1.76
RXN-12195	EC-3.6.1.15
DCTP-PYROPHOSPHATASE-RXN	EC-3.6.1.9	EC-3.6.1.12	EC-3.6.1.65
RXN-12848	
MYRPALMTRAN-RXN	EC-2.3.1
1.5.1.9-RXN	EC-1.5.1.9
RXN-16951	EC-1.14.13
XANPRIBOSYLTRAN-RXN	EC-2.4.2.22
1.8.4.12-RXN	EC-1.8.4.12
RXN-11667	EC-4.2.1.150
UREA-CARBOXYLASE-RXN	EC-6.3.4.6
R341-RXN	EC-6.3.5.9
2OXOGLUTARATEDEH-RXN	
RXN-15511	
RXN-17848	EC-2.3.2.6
3.6.3.21-RXN	EC-3.6.3.21
RXN-16952	EC-1.14.13
RXN-16456	EC-2.7.7.77
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
RXN-9651	EC-2.3.1.86
RXN-17789	EC-4.2.1.17
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.12
RXN-12134	
ARYLESTERASE-RXN	EC-3.1.1.2
RXN-9347	
RXN1G48-15	
RXN-17131	EC-3.9.1.3
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34
RXN-16691	
RXN-14903	EC-1.5.5.2
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
RXN-9242	EC-2.1.1.201
HYDROXY-MANDELATE-RACEMASE-RXN	EC-5.1.2.2
RXN0-1281	EC-1.1.1
2.3.1.184-RXN	EC-2.3.1.184
RXN0-4022	EC-1.7.1.13
RXN-14396	
ADENOSYLHOMOCYSTEINASE-RXN	EC-3.3.1.1
RXN66-477	EC-6.2.1.3
TRANS-RXN-214	EC-1.6.5.8
RXN66-484	EC-6.2.1.3
RXN-7607	EC-3.1.3.99
RXN-9538	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
PNP-RXN	EC-2.4.2.1
RXN-18430	
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
1.14.11.1-RXN	EC-1.14.11.1
METHYLACYLYLCOA-HYDROXY-RXN	EC-4.2.1.17
CHOLINE-SULFATASE-RXN	EC-3.1.6.6
TRANS-RXN1G48-7	
RXN-12508	
FUMARYLACETOACETASE-RXN	EC-3.7.1.2
MUCONATE-CYCLOISOMERASE-RXN	EC-5.5.1.1
RXN0-5055	EC-2.1.3
RXN0-2144	EC-4.2.1.59
1.2.1.2-RXN	EC-1.2.1.2
RXN1G48-8	
RXN-8675	
RXN-7609	EC-3.1.3.5
RXN-9632	EC-2.3.1.41
RXNQT-4171	EC-1.1.1.85
RXN0-5224	EC-4.2.1.1
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4
DEOXYINOPHOSPHOR-RXN	EC-2.4.2.1
RXN-18580	EC-1.10.2.2
RXN-9515	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
NUCLEOTIDE-PYROPHOSPHATASE-RXN	EC-3.6.1.9
RXN66-548	
AICARTRANSFORM-RXN	EC-2.1.2.3
RXN-9673	EC-6.2.1.3
RXN-11543	EC-3.7.1.13
RXN-12583	
RXN-13459	
R-2-METHYLMALATE-DEHYDRATASE-RXN	EC-4.2.1.35
THI-P-SYN-RXN	EC-2.5.1.3
UREIDOGLYCOLATE-HYDROLASE-RXN	EC-3.5.1.116
RXN-12736	EC-1.2.1.87
3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN	EC-1.14.13.24
L-IDONATE-2-DEHYDROGENASE-RXN	EC-1.1.1.264
RXN-7700	EC-1.1.1.1
ACYLCOASYN-RXN	EC-6.2.1.3
RXN-11598	EC-2.1.1.193
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.9
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
RXN-14385	EC-2.8.1.7
RXN-16402	EC-6.2.1.3
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
KDOTRANS-RXN	EC-2.4.99.12
ARGSUCCINSYN-RXN	EC-6.3.4.5
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
RXN-14812	
RXN-16665	
R223-RXN	EC-6.2.1.3
RXN-12703	EC-1.3.99
DAHPSYN-RXN	EC-2.5.1.54
RXN-14118	EC-3.5.4.13
RXN0-6734	EC-4.7.1.1
TRANS-RXN0-623	EC-6.2.1.3
RXN-17115	EC-1.1.1
RXN-17609	EC-4.2.1.84
6.3.2.10-RXN	EC-6.3.2.10
RXNQT-4366	EC-3.1.1.1
3.4.11.19-RXN	EC-3.4.11.19
RXN-16910	
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
R123-RXN	EC-3.5.4.42
RXN-8770	EC-3.1.3.73
GLYOXI-RXN	EC-4.4.1.5
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
RXN-17340	EC-1.3.1.56
URUR-RXN	EC-3.5.3.26
RXN-9521	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN-9540	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
IMPCYCLOHYDROLASE-RXN	EC-3.5.4.10
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EC-2.1.1.201
RXN-11245	EC-1.1.1.35
ADCLY-RXN	EC-4.1.3.38
RXN0-2361	EC-6.3.2.45
RXN-14959	EC-2.8.1.8
RXN-13908	EC-4.2.1.96
RXN-17877	EC-3.4.11.18
RXN1G-72	EC-1.1.1
RXN-10703	EC-1.1.1.35
RXN-9220	EC-2.1.1.163
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
RXN-11588	EC-2.1.1.185
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	EC-1.1.1.88
TRANS-RXN1G48-25	
GLUTCYSLIG-RXN	EC-6.3.2.2
THREDEHYD-RXN	EC-4.3.1.19
CROBETREDUCT-RXN	EC-1.3.8.13
RXN-18384	EC-1.3.1.85
RXN-12749	EC-4.2.1
RXN-16637	EC-3.1.1.29
RXN-7567	EC-4.2.1.84
RXN0-6481	EC-2.7.7.56
LONG-CHAIN-ACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.8
RXN-14391	EC-3.6.4
TIGLYLCOA-HYDROXY-RXN	EC-4.2.1.17
3.1.22.4-RXN	EC-3.1.22.4
RXN-16484	EC-3.2.1.56
CYTOCHROME-C-PEROXIDASE-RXN	EC-1.11.1.5
RXN-14112	EC-3.1.4.16
RXN-17788	EC-1.3.8
RXN-12570	EC-1.1.1.35
R561-RXN	EC-3.5.2
RXN-9366	EC-2.1.1.163
RXN1-42	EC-2.3.1
DEOXYCYTIDINE-KINASE-RXN	EC-2.7.1.74
2.1.1.63-RXN	EC-2.1.1.63
3.6.3.20-RXN	EC-3.6.3.20
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
GLYOHMETRANS-RXN	EC-2.1.2.1
RXN0-6483	EC-3.1.13.5
3.5.1.80-RXN	EC-3.5.1.25
RXN-12718	EC-3.7.1.17
RXN-17783	EC-1.3.8
RXN-16685	
1.2.7.4-RXN	EC-1.2.7.4
RXN-16619	EC-4.2.1.59
RXN-7644	EC-1.1.1.14
RXN1G48-29	
FARNESYLTRANSTRANSFERASE-RXN	EC-2.5.1.29
RXN0-302	EC-4.6.1.12
RXN0-4961	EC-3.1.11
DEHYDDEOXGALACTKIN-RXN	EC-2.7.1.178
RXN-15123	EC-3.5.99
RXN-14249	EC-1.1.1.103
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
RXN-16649	EC-3.4.16.4
2.3.1.41-RXN	EC-2.3.1.179
METHYLMALONYL-COA-MUT-RXN	EC-5.4.99.2
3-OXOACYL-ACP-SYNTH-BASE-RXN	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
RXN-16067	EC-2.3.1.51
RXN-17790	EC-1.1.1.35
ADPREDUCT-RXN	EC-1.17.4.1
RXN66-362	EC-5.3.3.1
RXN3O-54	EC-2.1.1.201
ARGINASE-RXN	EC-3.5.3.1
CYTIDEAM-RXN	EC-3.5.4.5
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	EC-1.14.13.2
RXN-13824	
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
RXN0-2301	EC-1.3.8.4
RXN-9518	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-7421	EC-2.1.1.79
CITLY-RXN	EC-4.1.3.6
RXN-8775	EC-1.2.1
RXN0-1134	EC-1.2.4.1
RXN-14189	EC-1.11.1.6
GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2
GDP-MANNOSE-6-DEHYDROGENASE-RXN	EC-1.1.1.132
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
4.2.1.41-RXN	EC-4.2.1.41
RXN-18208	
RXN-11592	EC-2.1.1.177
RXN0-6274	EC-2.5.1.75
RXN-9526	EC-1.3.1.10	EC-1.3.1.39	EC-2.3.1.85	EC-2.3.1.86
RXN1G-460	EC-2.3.1.179
RXN-17023	EC-2.3.1.51
RXN0-5265	
RXN-13581	
RXN0-6710	EC-3.1.4.55
RXN-12521	EC-1.3.1.34
TRANS-RXN1G48-1	
TRNA-S-TRANSFERASE-RXN	EC-2.8.1
RXN-12707	EC-1.3.99
RXN0-4401	EC-3.6.1.22
RIBOSYLHOMOCYSTEINASE-RXN	EC-4.4.1.21
GABATRANSAM-RXN	EC-2.6.1.19
RIBOPHOSPHAT-RXN	EC-3.1.3.104
RXN-7800	
RXN-8483	
RXN-17338	
RXN-12473	EC-2.8.1.11
KYNURENINASE-RXN	EC-3.7.1.3
RXN0-7238	EC-6.2.1.3
RXN0-5245	
RXN-13570	EC-1.7.2.6
RXN-13141	EC-4.2.1.136
RXN-17646	
DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN	EC-4.4.1.3
TRANS-RXN-139	
RXN-18209	
TRANS-RXN0-239	
PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
RXN-17884	EC-1.1.1.284
RXN66-470	EC-1.14.11
RXN1G-469	EC-1.1.1.100
N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN	EC-3.10.1.1
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	EC-2.3.1.37
RXN0-7230	EC-1.1.99.1
RXN66-478	EC-1.1.1.1
RXN-14451	
RXN-17890	EC-2.3.2.8
RXN66-1	EC-1.11.1.6
TRANS-RXN-189	
SAICARSYN-RXN	EC-6.3.2.6
RXN1G-445	EC-2.3.1.41
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
2.5.1.32-RXN	
RXN-10025	EC-2.3.1.184
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
RXN-15006	EC-1.2.1.38
RXN-12717	EC-1.14.14.12
RXN-9514	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-14029	EC-2.4.2.1
PRPPSYN-RXN	EC-2.7.6.1
RXN-17880	
4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
RXN-15881	EC-2.8.1.7
NITRIC-OXIDE-REDUCTASE-RXN	EC-1.7.2.5
1.2.7.8-RXN	EC-1.2.7.8
1.1.1.264-RXN	EC-1.1.1.264
3.4.11.2-RXN	EC-3.4.11.14
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
RXN-8642	
F16BDEPHOS-RXN	EC-3.1.3.11
2TRANSKETO-RXN	EC-2.2.1.1
METHYLMALONYL-COA-EPIM-RXN	EC-5.1.99.1
RXN-17758	
RXN-7657	EC-1.1.1.1
RXN-17475	EC-4.2.1.17
TRYPSYN-RXN	EC-4.2.1.20
TRANS-RXN1G48-18	
RXN-16948	EC-3.7.1.23
RXN1G-363	EC-4.2.1.59
RXN-8850	EC-2.1.1.148
2.7.8.24-RXN	EC-2.7.8.24
4.2.1.58-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-12978	EC-6.2.1.3
RXN0-6565	EC-1.3.1.1
PPPGPPHYDRO-RXN	EC-3.6.1.40
RXN-15512	
AMPSYN-RXN	EC-4.3.2.2
RXN0-6490	
RXN-7716	EC-1.8.1.4
RXN-10023	EC-2.3.1.184
ACETOOHBUTSYN-RXN	EC-2.2.1.6
RXN-17021	EC-2.3.1.51
2.1.1.77-RXN	EC-2.1.1.77
RXN0-7192	EC-6.3.4.15
RXN1G-364	EC-1.1.1
RXN-14256	
RXN-14091	EC-3.1.4.16
RXN-18203	
RXN-13313	EC-3.1.3.27
THIOREDOXIN-REDUCT-NADPH-RXN	EC-1.8.1.9
R502-RXN	EC-1.5.3
RXN-12744	EC-4.2.1
RXN-16949	EC-1.14.13.24
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN	EC-1.1.99.6
RXN0-2601	EC-4.2.99.18
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
RXN-16620	EC-1.3.1.9
1.5.1.20-RXN	EC-1.5.1.20
RXN-15157	EC-2.7.1.202
PRTRANS-RXN	EC-2.4.2.18
RXN-17645	EC-5.1.99.4
RXN0-6732	EC-2.7.8.37
RXN-9661	EC-1.3.1.9
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
1TRANSKETO-RXN	EC-2.2.1.1
OHBUTYRYL-COA-EPIM-RXN	EC-5.1.2.3
RXN-13616	EC-4.2.1.17
RXN-9654	EC-2.3.1.86
RXN-12575	EC-3.1.1.1
RXN-9535	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
3.5.2.18-RXN	EC-3.5.2.18
RXN-11741	
RXN-16077	EC-2.3.1.51
ADENINE-DEAMINASE-RXN	EC-3.5.4.2
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
RXN-7001	EC-2.4.2.1
RXN-13463	
3.6.3.29-RXN	EC-3.6.3.29
RXN-17878	EC-3.4.11.18
RXN-17832	EC-3.4.21.4
BIOTINLIG-RXN	EC-6.3.4.15
RXN-16621	EC-2.3.1.179
RXN-12199	EC-3.6.1.5
RXN-17780	EC-4.2.1.17
6-OXOHEXANOATE-OXIDATION-RXN	EC-1.2.1.63
RXN0-6442	EC-2.5.1
3.1.2.21-RXN	EC-3.1.2.21
RXN-11369	
RXNMETA-12671	EC-3.3.2.12
GLUTRNAREDUCT-RXN	EC-1.2.1.70
COBINPGUANYLYLTRANS-RXN	EC-2.7.7.62
RXN-15121	
RXN1G48-9	
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
3-ISOPROPYLMALISOM-RXN	
