Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Reactions of gene
G7601	b3082	3233728	3234144	G7601-MONOMER	
EG20053	b3691	3870438	3871730	YIDT-MONOMER	TRANS-RXN-16
G6117	b0233	252301	252699	G6117-MONOMER	RXN0-5509
G7081	b2001	2074779	2076311	G7081-MONOMER	
G7941	b4353	4588876	4589079	G7941-MONOMER	
G6407	b0790	823736	824497	G6407-MONOMER	
G6980	b1794	1877715	1878740	G6980-MONOMER	RXN0-5359
G6182	b0317	334525	335022	G6182-MONOMER	
EG10537	b3455	3593439	3594206	LIVG-MONOMER	ABC-36-RXN // ABC-15-RXN // ABC-35-RXN // TRANS-RXN-312
EG11045	b3831	4016431	4017192	URPHOS-MONOMER	URPHOS-RXN
EG10456	b2552	2685835	2687025	EG10456-MONOMER	R621-RXN // 1.5.1.34-RXN
G370	b1879	1962972	1965050	G370-MONOMER	
G0-10472	b4559	4352908	4353081	MONOMER0-2694	
EG12256	b3529	3683630	3685618	EG12256-MONOMER	RXN0-4181
EG10073	b0908	958812	960095	AROA-MONOMER	2.5.1.19-RXN
EG12627	b3541	3702865	3703848	DPPD-MONOMER	ABC-8-RXN
EG10103	b3736	3920418	3920888	ATPF-MONOMER	ATPSYN-RXN // RXN0-7041
EG10028	b0902	950340	951080	PFLACTENZ-MONOMER	1.97.1.4-A-RXN // TDCEACT1-RXN
EG11013	b1274	1331048	1333645	EG11013-MONOMER	5.99.1.2-RXN
EG11569	b0054	54755	57109	EG11569-MONOMER	TRANS-RXN-237 // TRANS-RXN0-638
EG10863	b3643	3815863	3816549	EG10863-MONOMER	RXN0-6482 // 2.7.7.8-RXN // TRNA-NUCLEOTIDYLTRANSFERASE-RXN // RXN0-7463 // RXN0-7473 // RXN0-7477
EG30107	b3977	4175472	4175556	tyrU-tRNA	
G7278	b2448	2563592	2563969	G7278-MONOMER	
G7823	b4110	4329360	4330238	G7823-MONOMER	
G7505	b2886	3028524	3029012	G7505-MONOMER	
EG10100	b3731	3915553	3915972	ATPC-MONOMER	ATPSYN-RXN // RXN0-7041
EG10243	b0215	236067	236798	EG10243-MONOMER	RXN0-4961
EG11728	b3718	3898671	3899393	EG11728-MONOMER	
EG11035	b0411	431129	432013	EG11035-MONOMER	TRANS-RXN0-468
EG11705	b3678	3856911	3858404	EG11705-MONOMER	
EG11444	b2917	3060850	3062994	METHYLMALONYL-COA-MUT-MONOMER	METHYLMALONYL-COA-MUT-RXN
EG11956	b4084	4306870	4307799	EG11956-MONOMER	ALLOSE-KINASE-RXN
EG10039	b1982	2055061	2056515	AMP-NUCLEOSID-MONOMER	AMP-NUCLEOSID-RXN
EG10765	b0467	490285	490812	EG10765-MONOMER	
G7358	b2619	2754288	2754764	G7358-MONOMER	
G6317	b0563	582875	583060	G6317-MONOMER	
G7341	b2547	2676850	2678361	YPHE-MONOMER	
G6885	b1645	1722121	1724133	G6885-MONOMER	
G6296	b0540	566842	567141	MONOMER0-4243	
EG10307	b3361	3490861	3491463	EG10307-MONOMER	
G6863	b1607	1681695	1682030	G6863-MONOMER	
G0-9387		3184570	3184718		
EG12605	b0119	134388	134750	EG12605-MONOMER	
EG10441	b0912	963828	964112	PD00348	
G6151	b0280	295139	295579	G6151-MONOMER	
G6650	b1312	1374090	1374932	YCJP-MONOMER	
G0-16601	b4717	1958441	1958747	RNA0-386	
G7247	b2384	2504510	2505547	G7247-MONOMER	RXN0-5051
EG10554	b4034	4245229	4246419	MALE-MONOMER	RXN0-7495 // ABC-16-RXN // TRANS-RXN0-504 // TRANS-RXN0-503
EG10288	b4289	4512411	4513409	FECC-MONOMER	ABC-9-RXN
G0-10261	b4520	1218983	1219201	MONOMER0-2141	
G6248	b0448	468871	470643	MDLA-MONOMER	
EG11735	b1019	1083376	1084647	EG11735-MONOMER	PROTOHEMEFERROCHELAT-RXN
EG11520	b3483	3623399	3623782	EG11520-MONOMER	
EG10761	b1211	1265012	1266094	EG10761-MONOMER	
EG12242	b3515	3663890	3664618	EG12242-MONOMER	
EG12219	b3473	3610516	3611733	YHHS-MONOMER	
EG10202	b3182	3328963	3330396	EG10202-MONOMER	RXN-16649 // RXN0-3461
EG11007	b0739	776342	777607	EG11007-MONOMER	
EG10165	b2417	2535834	2536343	CRR-MONOMER	RXN0-17 // TRANS-RXN-168 // TRANS-RXN-157 // TRANS-RXN0-583
G6209	b0357	379606	379881	G6209-MONOMER	
EG11914	b3955	4148532	4150265	EG11914-MONOMER	RXN-14363
EG11304	b1577	1650078	1650998	EG11304-MONOMER	
EG11328	b2525	2656748	2657083	OX-FERREDOXIN // FERREDOXIN-MONOMER	RXN-25087 // RXN-25093
EG11845	b3880	4070515	4071756	EG11845-MONOMER	RXN-15296 // MANNOSE-ISOMERASE-RXN
EG10729	b0241	259045	260100	MONOMER0-282	RXN0-2481 // RXN0-7241 // RXN0-7211 // RXN0-7210 // RXN0-7209 // RXN0-7208 // RXN0-7207 // RXN0-7206 // RXN0-7204 // TRANS-RXN0-445 // RXN0-1741 // RXN0-7203 // RXN0-7202 // RXN0-7201 // RXN0-7200 // RXN0-7199 // RXN0-7247 // RXN0-7246 // TRANS-RXN-380 // RXN0-7245 // RXN-15315 // RXN0-0 // TRANS-RXN0-490 // RXN0-7244 // RXN0-7243 // RXN0-7242 // TRANS-RXN0-615 // TRANS-RXN0-614 // TRANS-RXN0-612 // TRANS-RXN0-611 // TRANS-RXN0-609 // TRANS-RXN0-608 // TRANS-RXN0-607 // TRANS-RXN0-606 // TRANS-RXN0-604 // TRANS-RXN0-603 // TRANS-RXN0-601 // TRANS-RXN0-598
EG10679	b1283	1343110	1343328	EG10679-MONOMER	
G7465	b2845	2985847	2987076	B2845-MONOMER	
EG11972	b0139	152829	155426	EG11972-MONOMER	
EG11494	b1097	1154112	1155134	EG11494-MONOMER	RXN-17393
G7459	b2830	2968447	2968977	G7459-MONOMER	RXN0-7283 // RXN0-5510
G7875	b4221	4444112	4447891	G7875-MONOMER	
EG11942	b4067	4283253	4284902	YJCG-MONOMER	RXN0-1981 // RXN0-5111 // TRANS-RXN0-576
EG11333	b2906	3051115	3052317	EG11333-MONOMER	2-OCTAPRENYLPHENOL-HYDROX-RXN
G7100	b2055	2128904	2129650	G7100-MONOMER	RXN0-7343
EG11856	b3892	4081225	4081860	FDOI-MONOMER	FORMATEDEHYDROG-RXN
G7535	b2968	3110590	3111126	G7535-MONOMER	
G0-8866	b4442	2814802	2814874	SRAD-RNA	
G0-17085	b4810	92485	92658	RNA0-413	
G6608	b1168	1217328	1218851	G6608-MONOMER	
G7340	b2546	2675827	2676825	YPHD-MONOMER	
EG10350	b2803	2937468	2938886	FUCULOKIN-MONOMER	FUCULOKIN-RXN // DARABKIN-RXN
EG10628	b3924	4113726	4114472	FLAVONADPREDUCT-MONOMER	FLAVONADPREDUCT-RXN // RXN-17897
G0-10445	b4524	1381789	1381902	MONOMER0-2667	
EG11821	b0451	472966	474252	AMTB-MONOMER	RXN-9615
EG11001	b1719	1800642	1802570	THRS-MONOMER	RXN-23947 // ENTF-RXN // RXN-23946 // RXN-23948 // THREONINE--TRNA-LIGASE-RXN // RXN-9377 // RXN-23900
EG11414	b4372	4607803	4608216	EG11414-MONOMER	
G6454	b0869	906852	908282	G6454-MONOMER	
G0-16687	b4721	4556654	4556797	MONOMER0-4392	
G6482	b0940	999216	1001816	G6482-MONOMER	
G7652	b3158	3301485	3302480	G7652-MONOMER	RXN-24918 // RXN-24716 // RXN-24717 // RXN-24718
EG11323	b2909	3054866	3055444	EG11323-MONOMER	
G6612	b1172	1222644	1222988	G6612-MONOMER	
EG10848	b0700	729583	733776	EG10848-MONOMER	
EG10146	b1888	1973360	1975324	PROTEIN-CHEA // CHEA-SMALL	
G7920	b4310	4537659	4538765	G7920-MONOMER	RXN0-5329 // RXN-22511 // RXN0-7389
EG11051	b3669	3850136	3850726	PHOSPHO-UHPA // UHPA-MONOMER	
EG11436	b4269	4495190	4496209	EG11436-MONOMER	RXN-15744 // RXN0-5141 // RXN-8772 // RXN-15743 // RXN-8773 // ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN
G7948	b4366	4604160	4604837	G7948-MONOMER	
EG30031	b0664	696430	696504	glnX-tRNA	
EG12279	b3575	3742733	3743731	EG12279-MONOMER	RXN0-703
G6696	b1373	1432411	1432986	G6696-MONOMER	
G7856	b4193	4419980	4421377	SGAT-MONOMER	RXN0-2461
EG10508	b0421	440202	441101	FPPSYN-MONOMER	GPPSYN-RXN // FPPSYN-RXN
G7106	b2061	2135655	2136098	G7106-MONOMER	PROTEIN-TYROSINE-PHOSPHATASE-RXN
EG10049	b0980	1040617	1041915	APPA-MONOMER	RXN0-5462 // RXN-10940 // RXN-17495 // RXN-17489 // RXN-17490 // RXN-17493
EG11824	b3009	3153563	3154222	EG11824-MONOMER	
EG11270	b3766	3950322	3950420	EG11270-MONOMER	
EG11027	b1263	1319789	1321384	ANTHRANSYNCOMPII-MONOMER	ANTHRANSYN-RXN // GLUTAMIN-RXN // RXN-22711 // RXN-22729 // PRTRANS-RXN
EG11141	b1959	2029539	2030459	EG11141-MONOMER	
G6214	b4579			G6214-MONOMER	
EG20173	b2297	2414747	2416891	PHOSACETYLTRANS-MONOMER	PHOSACETYLTRANS-RXN // PTAALT-RXN
EG10090	b3800	3982958	3984193	EG10090-MONOMER	
G6481	b0939	998490	999191	G6481-MONOMER	
EG12717	b3068	3214967	3215473	EG12717-MONOMER	RXN0-1922
EG12802	b3196	3340275	3341252	YRBG-MONOMER	
EG11943	b4068	4284899	4285213	YJCH-MONOMER	
EG11312	b3638	3811891	3812559	EG11312-MONOMER	
G6784	b1490	1565758	1567140	G6784-MONOMER	RXN0-5359
G6665	b1329	1393227	1394840	G6665-MONOMER	TRANS-RXN0-268
G7816	b4484	4105820	4106320	G7816-MONOMER	
G7718	b3353	3483202	3484224	G7718-MONOMER	
G6452	b0867	904913	905743	G6452-MONOMER	RXN0-5225
EG11130	b1562	1645119	1645274	EG11130-MONOMER	
EG11721	b3711	3892765	3893724	EG11721-MONOMER	
EG12195	b0998	1061799	1062398	EG12195-MONOMER	
EG12867	b0376	395130	396287	EG12867-MONOMER	RXN0-3461 // RXN-16649
EG10802	b1015	1079305	1080813	PUTP-MONOMER	TRANS-RXN-118 // TRANS-RXN0-505
G6107	b0223	244327	245094	G6107-MONOMER	
EG12112	b2624	2758644	2758856	PD02850	
G0-16750	b4756	3183381	3183551	MONOMER0-4434	
EG10376	b3740	3923057	3923680	EG10376-MONOMER	RXN-11578
EG10069	b4254	4477307	4478311	CHAINI-MONOMER	ORNCARBAMTRANSFER-RXN
G6843	b1585	1656747	1657457	G6843-MONOMER	
G7789	b4479	3874471	3875160	G7790-MONOMER	
G7667	b3207	3348452	3349084	G7667-MONOMER	
G0-17038	b4792	3640643	3640696	MONOMER0-4504	
G6756	b1445	1517389	1517562	G6756-MONOMER	
EG11399	b3509	3655966	3656292	EG11399-MONOMER	
EG12192	b2615	2750831	2751709	MONOMER0-541	NAD-KIN-RXN
EG10930	b1814	1896932	1898296	LSERINEDEAM1-MONOMER	4.3.1.17-RXN // RXN-15125
EG11277	b0001	190	255	EG11277-MONOMER	
EG12287	b3583	3750086	3750781	EG12287-MONOMER	RIBULPEPIM-RXN
G0-17044	b4798	3853766	3853840	MONOMER0-4512	
G6433	b0833	872979	875327	G6433-MONOMER	
G0-10648	b4675	1878874	1878948	MONOMER0-2875	
G7673	b3219	3366926	3367642	G7673-MONOMER	
EG11065	b1521	1609229	1610680	ALTRO-OXIDOREDUCT-MONOMER	ALTRO-OXIDOREDUCT-RXN
G6649	b1311	1373222	1374103	YCJO-MONOMER	
G0-16638	b4709	258345	258620	MONOMER0-4346	
EG11162	b2929	3074686	3075195	EG11162-MONOMER	FUMHYDR-RXN
EG10578	b4120	4343369	4344790	MELB-MONOMER	TRANS-RXN-94 // RXN-17755 // TRANS-RXN-94B // TRANS-RXN-94A // TRANS-RXN0-520 // TRANS-RXN0-519
EG12341	b2572	2708754	2709404	EG12341-MONOMER	
EG10878	b3294	3439616	3439999	EG10878-MONOMER	
G6619	b1182	1229483	1230394	G6619-MONOMER	
EG10709	b1714	1797959	1798942	PHES-MONOMER	RXN-23957 // RXN-23088 // RXN-23956 // RXN-23958 // PHENYLALANINE--TRNA-LIGASE-RXN // RXN-23892 // RXN-23904
G6915	b1689	1770615	1770971	G6915-MONOMER	
EG11876	b3922	4112967	4113266	EG11876-MONOMER	
G7050	b1957	2028188	2028370	G7050-MONOMER	
G6589	b1145	1202259	1202933	G6589-MONOMER	
G6819	b1545	1633622	1634212	G6819-MONOMER	
EG10107	b3572	3739705	3740958	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	VALINE-PYRUVATE-AMINOTRANSFER-RXN // RXN0-5200
G7842	b4162	4391604	4392149	G7842-MONOMER	3.1.13.3-RXN
G7757	b3440	3579768	3580805	G7757-MONOMER	
G6744	b1433	1504905	1506080	B1433-MONOMER	
EG12661	b0654	685929	686669	GLTJ-MONOMER	TRANS-RXN0-222 // ABC-13-RXN
EG11787	b2053	2127193	2128314	GDPMANDEHYDRA-MONOMER	GDPMANDEHYDRA-RXN
G6775	b1478	1552828	1553838	ADHP-MONOMER	ALCOHOL-DEHYDROG-RXN // ALCOHOL-DEHYDROG-GENERIC-RXN
EG11050	b3449	3587370	3588113	GLYCPDIESTER-CYTO-MONOMER	GLYCPDIESTER-RXN // RXN-14073 // RXN-14136 // RXN-14160
EG10469	b0973	1033254	1035047	HYAB-MONOMER	RXN0-5256 // RXN-16420
G7991	b1910	1991914	1991987	cysT-tRNA	
G6876	b1632	1710828	1711523	G6876-MONOMER	RXN0-7453
G0-8883	b4433	1923104	1923207	RYEB-RNA	
G6839	b1581	1653927	1655141	G6839-MONOMER	
EG11039	b2600	2738948	2740069	CHORISMUTPREPHENDEHYDROG-MONOMER	CHORISMATEMUT-RXN // PREPHENATEDEHYDROG-RXN
EG10452	b2306	2423736	2424509	HISP-MONOMER	ABC-14-RXN // ABC-37-RXN // ABC-4-RXN // ABC-3-RXN
EG10717	b4100	4320663	4321247	EG10717-MONOMER	
EG50002	b3185	3332862	3333119	EG50002-MONOMER	
G6131	b0256	270603	271754	G6131-MONOMER	RXN0-5131
EG10061	b4401	4639590	4640306	PHOSPHO-ARCA // ARCA-MONOMER	
G0-16693		2100863	2101027	MONOMER0-4397	
EG12371	b3163	3308040	3308924	EG12371-MONOMER	
G0-17019	b4773	1407989	1408036	MONOMER0-4485	
G7367	b2632	2767710	2768573	G7367-MONOMER	
G6587	b1143	1201497	1201838	G6587-MONOMER	
RUVB	b1860	1944346	1945356	EG10924-MONOMER	
EG10352	b2801	2934235	2935551	FUCP-MONOMER	TRANS-RXN-20 // RXN0-7221 // RXN0-7222
EG10817	b3748	3933351	3933770	EG10817-MONOMER	RXN0-5304
EG10985	b0053	53416	54702	EG10985-MONOMER	PEPTIDYLPROLYL-ISOMERASE-RXN
G6688	b1365	1425377	1425640	G6688-MONOMER	
G7388	b2653	2785800	2785973		
G6940	b1744	1825955	1826923	SUCCGLUDESUCC-MONOMER	SUCCGLUDESUCC-RXN
G6304	b0548	572921	573091	G6304-MONOMER	
EG12023	b2141	2230624	2231022	EG12023-MONOMER	
EG10853	b1427	1498938	1499477	EG10853-MONOMER	RXN0-5231
G7618	b3104	3252911	3253267	G7618-MONOMER	
G7398	b2668	2797520	2798044	G7398-MONOMER	THIOSULFATE-SULFURTRANSFERASE-RXN
EG11457	b3793	3978601	3979953	FUC4NACTRANS-MONOMER	RXN-22149 // RXN0-7383
G7767	b3472	3609955	3610512	G7767-MONOMER	
G7380	b2645	2777115	2777432	G7380-MONOMER	
G7804	b3830	4015354	4016169	G7804-MONOMER	
EG10677	b1246	1304754	1305767	OPPD-MONOMER	ABC-8-RXN // 3.6.3.23-RXN // RXN0-11 // TRANS-RXN0-268
G7859	b4197	4422846	4423700	G7859-MONOMER	LXULRU5P-RXN
G6114	b0230	250072	250827	G6114-MONOMER	
EG12008	b2127	2214866	2215597	EG12008-MONOMER	
EG10017	b3187	3333710	3334681	OPPSYN-MONOMER	RXN-8992
G0-10462	b4546	2527941	2528159	MONOMER0-2684	
G7494	b2875	3012614	3014239	G7494-MONOMER	
G7329	b2535	2665435	2666715	G7329-MONOMER	
EG10369	b0124	138835	141225	GLUCDEHYDROG-MONOMER	RXN0-6373
G7480	b2860	2996372	2997277	MONOMER0-4448	
G6920	b1697	1779617	1780381	G6920-MONOMER	
EG12842	b0850	890913	891200	EG12842-MONOMER	
G6877	b1634	1712769	1714271	B1634-MONOMER	TRANS-RXN0-267 // TRANS-RXN0-288
G7647	b3153	3298974	3299492	G7647-MONOMER	RXN-17632 // GLYOXIII-RXN
EG12836	b3270	3421325	3422428	YHDY-MONOMER	
EG11612	b4111	4330502	4332004	PROP-MONOMER	TRANS-RXN-29 // TRANS-RXN-29A
G6416	b0807	842332	843258	G6416-MONOMER	RXN-11596
EG10109	b0311	325577	327247	CHD-MONOMER	CHD-RXN // RXN0-7230 // RXN0-7231
EG11823	b2435	2552352	2553221	NACMURLALAAMI1-MONOMER	RXN-16938
G6228	b0379	399025	399333	G6228-MONOMER	
G7735	b3383	3511439	3512344	G7735-MONOMER	
EG12412	b2041	2111976	2113061	DTDPGLUCDEHYDRAT-MONOMER	DTDPGLUCDEHYDRAT-RXN
EG10569	b1819	1903895	1904746	MANZ-MONOMER	TRANS-RXN-165 // TRANS-RXN0-540 // TRANS-RXN0-446 // TRANS-RXN-167A // TRANS-RXN-157 // TRANS-RXN-167 // TRANS-RXN-158A
EG10014	b2470	2587595	2590708	ACRD-MONOMER	TRANS-RXN-1551 // TRANS-RXN-1552 // TRANS-RXN-360
G6623	b1194	1243793	1244527	G6623-MONOMER	
EG11408	b1190	1238879	1239949	ALARACECAT-MONOMER	ALARACECAT-RXN
G7806	b3836	4021945	4022214	TATA	TRANS-RXN0-181
EG11156	b2825	2963153	2963716	EG11156-MONOMER	
EG12225	b3488	3630968	3632590	EG12225-MONOMER	
G6137	b0263	278814	279162	G6137-MONOMER	
EG12662	b0653	685255	685929	GLTK-MONOMER	TRANS-RXN0-222 // ABC-13-RXN
EG10653	b3365	3494011	3496554	NIRB-MONOMER	RXN-13854
G6128	b0253	268097	268960	G6128-MONOMER	
G0-16667	b4651	3768892	3769256		
G6087	b0024	21181	21399	G6087-MONOMER	
EG11201	b3810	3995583	3996290	EG11201-MONOMER	
G7189	b2295	2412677	2413132	G7189-MONOMER	
EG11234	b1692	1773789	1774655	EG11234-MONOMER	SHIKIMATE-5-DEHYDROGENASE-RXN // RXN-11174 // QUINATE-5-DEHYDROGENASE-RXN
EG11605	b3284	3431991	3432464	EG11605-MONOMER	
EG10770	b0194	217057	218775	PROS-MONOMER	RXN-23942 // RXN-11115 // RXN-23941 // RXN-23940 // RXN-17190 // RXN-23939 // PROLINE--TRNA-LIGASE-RXN // RXN-19079 // RXN-23899 // RXN-21072
EG10293	b0584	610254	612494	EG10293-MONOMER	RXN0-1682 // TRANS-RXN-1598
G7026	b1877	1961972	1962460	G7026-MONOMER	
EG11224	b1947	2021504	2021869	EG11224-MONOMER	
G7324	b2529	2659903	2660289	G7324-MONOMER	RXN-25083
G7037	b1918	1997811	1998479	G7037-MONOMER	TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617
G7233	b2368	2482176	2483339	G7233-MONOMER	TRANS-RXN-365
G7756	b3439	3578950	3579645	G7756-MONOMER	QUERCETIN-23-DIOXYGENASE-RXN
G7862	b4204	4426628	4427422	G7862-MONOMER	
G7680	b3232	3378870	3379997	G7680-MONOMER	
EG10387	b3869	4055290	4056339	PROTEIN-NRII	2.7.13.3-RXN
EG12337	b0164	184257	185069	EG12337-MONOMER	
G7728	b3376	3504935	3506020	G7728-MONOMER	
EG11311	b3260	3410280	3411245	EG11311-MONOMER	RXN0-1281
G7194	b2302	2420621	2421268	G7194-MONOMER	RXN0-6256
EG13139	b1386	1449076	1451349	AMINEOXID-MONOMER	RXN-9597 // RXN-10817 // AMACETOXID-RXN // AMINEOXID-RXN
G0-17110	b4835	607733	607792	RNA0-428	
G6683	b1359	1421119	1421976	G6683-MONOMER	
EG12342	b4385	4621769	4623100	MONOMER0-4564 // EG12342-MONOMER	
G7207	b2336	2451584	2452336	G7207-MONOMER	
EG11757	b4168	4395585	4396046	EG11757-MONOMER	RXN-14570
EG10386	b0811	847258	848004	GLNH-MONOMER	ABC-12-RXN
G6818	b1544	1633072	1633305	G6818-MONOMER	
EG10011	b0006	5683	6459	EG10011-MONOMER	
EG11554	b2669	2798091	2798495	EG11554-MONOMER	
G7091	b2028	2098447	2099613	UGD-MONOMER	UGD-RXN
G6505	b0984	1045849	1047945	G6505-MONOMER	
G7286	b2456	2571763	2572050	G7286-MONOMER	
EG10902	b3314	3449182	3449883	EG10902-MONOMER	
G7039	b1920	1999585	2000385	G7039-MONOMER	TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617
EG30058	b0673	697057	697133	metT-tRNA	
EG10562	b3418	3553085	3555790	PD00237	
EG20253	b3569	3734979	3736157	EG20253-MONOMER	
G6995	b1811	1894552	1894731	G6995-MONOMER	
G6817	b1543	1631002	1632285	B1543-MONOMER	
G0-16639	b4711	1299567	1300547	MONOMER0-4347	
EG12181	b1654	1733754	1734101	EG12181-MONOMER	
G6189	b0324	341125	342507	G6189-MONOMER	
G6752	b1441	1512817	1513830	YDCT-MONOMER	
G0-16676	b4697	3404495	3404637		
G6914	b1688	1769074	1770186	G6914-MONOMER	
G6528	b1021	1086106	1086519	G6528-MONOMER	TRANS-RXN0-549 // RXN0-5413
G6332	b0603	636716	637618	G6332-MONOMER	
EG12860	b1853	1936652	1937521	EG12860-MONOMER	
EG10256	b1850	1932115	1932756	KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER	KDPGALDOL-RXN // RXN-13990 // OXALODECARB-RXN
EG11402	b4239	4463054	4464709	TRE6PHYDRO-MONOMER	TRE6PHYDRO-RXN
EG12416	b2092	2172921	2174278	GATC-MONOMER	TRANS-RXN-161 // TRANS-RXN-169
EG12378	b1867	1950832	1951398	EG12378-MONOMER	
EG30084	b3851	4035531	4037072	RRSA-RRNA	
EG12388	b0534	563330	563845	EG12388-MONOMER	
EG10430	b3804	3989088	3989828	UROGENIIISYN-MONOMER	UROGENIIISYN-RXN
EG30017	b3796	3982375	3982451	argX-tRNA	
G6722	b4492			G6722-MONOMER	
G7254	b2392	2511468	2512706	YFEP-MONOMER	TRANS-RXN-241
G7746	b3407	3537385	3539706	G7746-MONOMER	
G7898	b4575	4499593	4500791	G7898-MONOMER	
EG12089	b2281	2395908	2396450	NUOI-MONOMER	NADH-DEHYDROG-A-RXN // RXN0-5388
EG10629	b0543	568315	568647	EMRE-MONOMER	TRANS-RXN0-628 // TRANS-RXN0-493 // TRANS-RXN-344 // TRANS-RXN0-532 // TRANS-RXN0-635
EG10832	b2565	2701741	2702469	EG10832-MONOMER	
EG11119	b1088	1146794	1147315	EG11119-MONOMER	
G7726	b3374	3503167	3503952	G7726-MONOMER	RXN0-962
EG11298	b3248	3397785	3398378	EG11298-MONOMER	RXN0-5107 // RXN-14139
G6573	b1116	1175427	1176626	YCFU-MONOMER	RXN-22427
EG10583	b3008	3152236	3153423	CYSTATHIONINE-BETA-LYASE-MONOMER	CYSTATHIONINE-BETA-LYASE-RXN // RXN-15131 // LCYSDESULF-RXN // RXN-15129 // ALARACECAT-RXN
G6145	b0274	290649	291152	MONOMER0-4440	
EG10495	b3774	3957970	3959445	KETOLREDUCTOISOM-MONOMER	ACETOLACTREDUCTOISOM-RXN // ACETOOHBUTREDUCTOISOM-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN
EG10918	b3316	3450248	3450526	EG10918-MONOMER	
G6730	b1411	1480909	1482201	G6730-MONOMER	
G6413	b0804	838530	839207	G6413-MONOMER	
EG11679	b2836	2973855	2976014	AAS-MONOMER	ACYLGPEACYLTRANS-RXN // RXN-5741 // RXN0-5513
EG10484	b2727	2851001	2851873	EG10484-MONOMER	RXN-22957 // RXN0-5462
G7762	b3445	3583677	3584180	MONOMER0-4450	
G7128	b2095	2175059	2176321	G7128-MONOMER	RXN-18477
EG10895	b3988	4185350	4189573	RPOC-MONOMER	DNA-DIRECTED-RNA-POLYMERASE-RXN
G7907	b4286	4509804	4510133	G7907-MONOMER	
EG11024	b1260	1316416	1317222	TRYPSYN-APROTEIN	TRYPSYN-RXN // RXN0-2382 // RXN0-2381
G6082	b0011	10643	11356	G6082-MONOMER	
G7296	b2473	2593072	2593770	G7296-MONOMER	
G0-17074	b4803	720718	720822	MONOMER0-4532	
G6533	b1026	1094275	1095141	MONOMER0-4443	
EG10050	b0564	583681	584430	PD00967	
EG11326	b0337	356171	357454	CYTDEAM-MONOMER	CYTDEAM-RXN // RXN0-6708
EG10931	b0723	755907	757673	SDH-FLAVO	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
G0-8875	b4459	4277926	4278066	SRAL-RNA	
EG10523	b0051	51609	52430	EG10523-MONOMER	RXN-11633
EG12202	b4241	4466299	4467246	EG12202-MONOMER	
G7212	b2341	2457015	2459159	G7212-MONOMER	RXN-20679 // RXN-12570 // RXN-12490 // RXN-11662 // RXN-20676 // OHACYL-COA-DEHYDROG-RXN // RXN-17777 // RXN-17781 // RXN-14393 // RXN-17786 // RXN-17790 // RXN-17794 // RXN-17798 // RXN-20678 // RXN-12567 // RXN-13616 // RXN-11667 // RXN-20675 // ENOYL-COA-HYDRAT-RXN // RXN-17776 // RXN-17780 // RXN0-5393 // RXN-17785 // RXN-17789 // RXN-17793 // RXN-17797 // OHBUTYRYL-COA-EPIM-RXN // RXN-7931 // ENOYL-COA-DELTA-ISOM-RXN
G7402	b2674	2800965	2801375	G7402-MONOMER	
G6247	b0447	468383	468841	G6247-MONOMER	
EG12454	b0481	506603	507082	EG12454-MONOMER	RXN-21077
EG12347	b1917	1997062	1997814	EG12347-MONOMER	TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617
EG11212	b4178	4406190	4406615	EG11212-MONOMER	
EG10443	b1507	1590854	1592176	HIPA-P // EG10443-MONOMER	RXN0-5211
EG11206	b4011	4213234	4213617	EG11206-MONOMER	
EG11596	b0782	818055	818567	MONOMER0-1501	
G7134	b2102	2182833	2183651	G7134-MONOMER	
G7497	b2878	3016060	3019158	G7497-MONOMER	
G7126	b2089	2170532	2171398	MONOMER0-4447	
EG12442	b4461	2748774	2750060	G7356-MONOMER	
G7701	b3323	3453929	3455398	G7701-MONOMER	
EG12360	b2236	2348514	2348768	EG12360-MONOMER	
G0-10580	b4637	710639	710725	MONOMER0-2801	
EG11279	b4246	4472399	4472533	EG11279-MONOMER	
EG11367	b2786	2915057	2917813	MONOMER0-4299 // MONOMER0-4210 // PHOSPHO-BARA-ASP // BARA-MONOMER	2.7.13.3-RXN
EG11509	b0012	10830	11315	EG11509-MONOMER	
G0-10456	b4538	2078575	2078931	MONOMER0-2678	
EG12123	b2289	2405703	2406641	EG12123-MONOMER	
G6462	b0879	920347	922293	MACB	TRANS-RXN0-224 // TRANS-RXN-377 // TRANS-RXN-378
EG11836	b3867	4052045	4053418	HEMN-MONOMER	HEMN-RXN
EG11649	b0208	229967	230881	EG11649-MONOMER	
G7580	b3033	3176858	3177280	G7580-MONOMER	
G6713	b1392	1456430	1457500	G6713-MONOMER	RXN0-2042
